Sequence1,Sequence2,Time_Seconds
2,133,0.04687
2,134,0.031241
2,135,0.046864
2,136,0.059525
2,137,0.043283
2,138,0.039906
2,139,0.032953
2,140,0.047676
2,141,0.038366
2,142,0.048601
2,143,0.045459
2,144,0.031284
2,145,0.047459
2,146,0.04707
2,147,0.03177
2,148,0.058711
2,149,0.069719
2,150,0.068779
2,151,0.062427
2,152,0.044116
2,153,0.038881
2,154,0.032169
2,155,0.016098
2,156,0.034849
2,157,0.075688
2,158,0.046867
2,159,0.078146
2,160,0.063019
2,161,0.065442
2,162,0.04194
2,163,0.041778
2,164,0.033038
2,165,0.043192
2,166,0.029138
2,167,0.03372
2,168,0.014004
2,169,0.078601
2,170,0.031247
2,171,0.015621
2,172,0.033955
2,173,0.029498
2,174,0.033253
2,175,0.024798
2,176,0.045285
2,177,0.032901
2,178,0.030553
2,179,0.024995
2,180,0.033204
2,181,0.028705
3,4,0.080829
3,5,0.108069
3,6,0.120631
3,7,0.096219
3,8,0.099608
3,9,0.086409
3,10,0.098831
3,11,0.099286
3,12,0.097758
3,13,0.092422
3,14,0.10188
3,15,0.089621
3,16,0.129182
3,17,0.13986
3,18,0.199628
3,19,0.186201
3,20,0.116824
3,21,0.079466
3,22,0.135304
3,23,0.129071
3,24,0.117877
3,25,0.085083
3,26,0.078699
3,27,0.100975
3,28,0.088881
3,29,0.095892
3,30,0.101317
3,31,0.098974
3,32,0.083436
3,33,0.080108
3,34,0.104797
3,35,0.10666
3,36,0.096177
3,37,0.097893
3,38,0.090375
3,39,0.090033
3,40,0.089779
3,41,0.091632
3,42,0.085401
3,43,0.092765
3,44,0.099115
3,45,0.090854
3,46,0.101545
3,47,0.092343
3,48,0.088945
3,49,0.183966
3,50,0.091648
3,51,0.090185
3,52,0.091255
3,53,0.094116
3,54,0.088799
3,55,0.099189
3,56,0.087882
3,57,0.105285
3,58,0.086515
3,59,0.081221
3,60,0.093137
3,61,0.082389
3,62,0.07829
3,63,0.093042
3,64,0.088505
3,65,0.079379
3,66,0.074813
3,67,0.125503
3,68,0.079283
3,69,0.094401
3,70,0.079174
3,71,0.063194
3,72,0.100708
3,73,0.166457
3,74,0.107441
3,75,0.135151
3,76,0.158356
3,77,0.164966
3,78,0.143869
3,79,0.174321
3,80,0.193057
3,81,0.154421
3,82,0.13465
3,83,0.200788
3,84,0.148883
3,85,0.142498
3,86,0.177925
3,87,0.182733
3,88,0.162015
3,89,0.145482
3,90,0.186803
3,91,0.152575
3,92,0.255709
3,93,0.200526
3,94,0.114211
3,95,0.097106
3,96,0.091082
3,97,0.10064
3,98,0.159744
3,99,0.277575
3,100,0.136787
3,101,0.156379
3,102,0.090079
3,103,0.140109
3,104,0.065422
3,105,0.048761
3,106,0.081665
3,107,0.067748
3,108,0.075242
3,109,0.073003
3,110,0.081965
3,111,0.070471
3,112,0.107738
3,113,0.058481
3,114,0.065785
3,115,0.089918
3,116,0.071876
3,117,0.070042
